iter	Passed	Remaining
0	117	70388
1	237	71035
2	311	62012
3	405	60412
4	502	59738
5	638	63243
6	748	63439
7	886	65584
8	990	65032
9	1105	65242
10	1209	64758
11	1306	64036
12	1406	63496
13	1513	63353
14	1628	63505
15	1748	63832
16	1847	63341
17	1969	63691
18	2089	63880
19	2199	63771
20	2321	64003
21	2446	64266
22	2548	63923
23	2664	63950
24	2785	64060
25	2901	64053
26	3017	64048
27	3066	62641
28	3177	62565
29	3293	62570
30	3411	62621
31	3513	62363
32	3616	62143
33	3735	62182
34	3854	62217
35	3968	62175
36	4090	62236
37	4192	62007
38	4305	61936
39	4425	61958
40	4543	61941
41	4651	61803
42	4770	61794
43	4889	61782
44	5001	61690
45	5110	61551
46	5227	61510
47	5341	61430
48	5439	61171
49	5559	61151
50	5675	61097
51	5786	60978
52	5887	60768
53	5991	60581
54	6101	60457
55	6195	60188
56	6318	60188
57	6427	60064
58	6540	59969
59	6656	59906
60	6766	59791
61	6873	59646
62	6999	59659
63	7100	59469
64	7209	59340
65	7306	59113
66	7421	59043
67	7537	58969
68	7653	58894
69	7779	58902
70	7876	58682
71	7952	58318
72	8067	58242
73	8185	58181
74	8287	58013
75	8410	57987
76	8532	57955
77	8643	57842
78	8769	57831
79	8879	57718
80	9004	57695
81	9112	57562
82	9179	57180
83	9296	57109
84	9421	57086
85	9538	57006
86	9647	56888
87	9739	56665
88	9838	56488
89	9958	56431
90	10078	56371
91	10203	56338
92	10323	56279
93	10379	55871
94	10488	55753
95	10582	55559
96	10696	55466
97	10803	55341
98	10910	55211
99	11031	55156
100	11145	55066
101	11216	54761
102	11327	54657
103	11448	54598
104	11552	54462
105	11642	54256
106	11761	54189
107	11872	54085
108	11970	53920
109	12085	53833
110	12200	53746
111	12279	53504
112	12393	53411
113	12494	53266
114	12610	53182
115	12728	53109
116	12849	53046
117	12968	52973
118	13091	52916
119	13194	52776
120	13304	52667
121	13412	52549
122	13520	52432
123	13642	52371
124	13752	52260
125	13860	52141
126	13977	52058
127	14074	51900
128	14170	51737
129	14271	51595
130	14366	51434
131	14471	51307
132	14533	51031
133	14635	50897
134	14738	50765
135	14838	50625
136	14954	50538
137	15074	50467
138	15183	50357
139	15296	50261
140	15389	50096
141	15483	49938
142	15543	49673
143	15642	49535
144	15723	49340
145	15871	49353
146	15965	49199
147	16066	49066
148	16128	48817
149	16237	48712
150	16356	48637
151	16462	48522
152	16579	48438
153	16699	48363
154	16820	48291
155	16934	48197
156	17063	48148
157	17192	48096
158	17316	48028
159	17447	47979
160	17577	47929
161	17688	47824
162	17791	47698
163	17909	47611
164	18017	47500
165	18128	47397
166	18235	47281
167	18325	47123
168	18435	47015
169	18550	46921
170	18639	46761
171	18759	46681
172	18865	46564
173	18892	46253
174	18998	46139
175	19115	46052
176	19228	45951
177	19329	45826
178	19431	45701
179	19546	45608
180	19649	45487
181	19753	45367
182	19862	45260
183	19973	45157
184	20078	45040
185	20187	44933
186	20294	44821
187	20397	44700
188	20493	44564
189	20590	44431
190	20710	44348
191	20814	44231
192	20925	44127
193	20983	43914
194	21088	43800
195	21188	43674
196	21287	43548
197	21355	43358
198	21449	43222
199	21570	43140
200	21669	43014
201	21763	42881
202	21874	42779
203	21963	42635
204	22074	42533
205	22160	42384
206	22293	42325
207	22406	42227
208	22497	42089
209	22631	42029
210	22728	41903
211	22850	41821
212	22933	41667
213	23059	41592
214	23171	41493
215	23289	41403
216	23376	41259
217	23498	41175
218	23630	41110
219	23747	41018
220	23860	40919
221	23986	40842
222	24082	40713
223	24190	40604
224	24306	40511
225	24402	40382
226	24502	40262
227	24589	40119
228	24691	40002
229	24752	39819
230	24857	39706
231	24973	39612
232	25082	39507
233	25197	39411
234	25293	39286
235	25394	39167
236	25501	39059
237	25613	38959
238	25712	38838
239	25808	38712
240	25912	38600
241	26024	38498
242	26122	38377
243	26218	38252
244	26322	38140
245	26407	38000
246	26516	37896
247	26626	37792
248	26731	37682
249	26814	37540
250	26914	37423
251	27031	37329
252	27153	37242
253	27240	37107
254	27344	36995
255	27452	36889
256	27532	36745
257	27623	36617
258	27722	36499
259	27828	36391
260	27934	36283
261	28051	36189
262	28169	36095
263	28271	35981
264	28354	35844
265	28461	35737
266	28575	35639
267	28672	35520
268	28759	35387
269	28874	35290
270	28974	35175
271	29055	35037
272	29140	34904
273	29249	34800
274	29338	34672
275	29419	34535
276	29501	34401
277	29594	34278
278	29702	34173
279	29794	34050
280	29921	33967
281	30007	33838
282	30105	33722
283	30181	33581
284	30259	33444
285	30324	33293
286	30409	33164
287	30498	33040
288	30623	32954
289	30728	32847
290	30814	32720
291	30894	32587
292	30973	32453
293	31045	32312
294	31114	32169
295	31195	32038
296	31263	31895
297	31352	31772
298	31429	31639
299	31494	31494
300	31564	31355
301	31705	31285
302	31807	31177
303	31872	31034
304	31945	30898
305	32025	30769
306	32111	30647
307	32187	30515
308	32276	30396
309	32349	30262
310	32408	30116
311	32485	29987
312	32567	29861
313	32646	29735
314	32707	29592
315	32809	29486
316	32876	29350
317	32952	29222
318	33027	29092
319	33101	28963
320	33212	28866
321	33292	28743
322	33362	28611
323	33470	28511
324	33546	28385
325	33628	28264
326	33745	28173
327	33813	28040
328	33880	27907
329	33980	27802
330	34064	27684
331	34127	27548
332	34214	27433
333	34281	27302
334	34358	27179
335	34427	27050
336	34503	26926
337	34594	26815
338	34682	26702
339	34773	26591
340	34865	26481
341	34954	26369
342	35070	26276
343	35176	26178
344	35275	26072
345	35376	25970
346	35483	25871
347	35579	25764
348	35665	25650
349	35772	25551
350	35865	25442
351	35968	25341
352	36089	25252
353	36211	25163
354	36309	25058
355	36408	24954
356	36509	24851
357	36615	24750
358	36716	24647
359	36826	24550
360	36934	24452
361	37054	24361
362	37182	24276
363	37276	24168
364	37374	24062
365	37457	23948
366	37581	23859
367	37685	23758
368	37774	23647
369	37891	23554
370	37973	23439
371	38083	23341
372	38188	23240
373	38281	23132
374	38377	23026
375	38476	22922
